Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
66,Scott Skiles,28,ORL,PG,78,78,39.6,5.3,11.4,0.467,1,3,0.34,4.3,8.4,0.512,0.512,3.7,4.2,0.892,0.7,3.1,3.7,9.4,1.1,0,3.4,3.1,15.4,
67,Latrell Sprewell,22,GSW,SG,77,69,35.6,5.8,12.6,0.464,0.9,2.6,0.369,4.9,10,0.488,0.502,2.7,3.7,0.746,1,2.5,3.5,3.8,1.6,0.7,2.6,2.2,15.4,
68,Dell Curry,28,CHH,SG,80,0,26.2,6.2,13.8,0.452,1.2,3,0.401,5,10.8,0.466,0.495,1.7,2,0.866,0.6,2.9,3.6,2.3,1.1,0.3,1.6,1.9,15.3,6MOY-4
69,John Stockton,30,UTA,PG,82,82,34.9,5.3,11,0.486,0.9,2.3,0.385,4.5,8.7,0.513,0.526,3.6,4.5,0.798,0.8,2.1,2.9,12,2.4,0.3,3.2,2.7,15.1,"MVP-10,AS,NBA2"
70,Sedale Threatt,31,LAL,PG,82,82,35.3,6.4,12.5,0.508,0.2,0.6,0.264,6.2,11.9,0.521,0.515,2.2,2.6,0.823,0.6,2.8,3.3,6.9,1.7,0.1,2.1,3,15.1,
71,Micheal Williams,26,MIN,PG,76,76,35,4.6,10.4,0.446,0.3,1.4,0.243,4.3,9,0.478,0.463,5.5,6.1,0.907,1.1,2.5,3.6,8.7,2.2,0.3,3,3.5,15.1,
72,Ken Norman,28,LAC,SF,76,71,32.6,6.6,12.8,0.511,0.1,0.5,0.263,6.4,12.3,0.521,0.516,1.7,2.9,0.595,2.8,4.8,7.5,2.2,0.8,0.8,1.6,2.1,15,
73,James Worthy,31,LAL,SF,82,69,28.8,6.2,13.9,0.447,0.4,1.4,0.27,5.9,12.6,0.466,0.46,2.1,2.6,0.81,0.9,2.1,3,3.4,1.1,0.3,1.7,1.1,14.9,
74,Michael Adams,30,WSB,PG,70,70,35.7,5.2,11.9,0.439,1,3,0.321,4.2,8.8,0.48,0.48,3.4,4,0.856,0.7,2.7,3.4,7.5,1.4,0.1,2.5,2.1,14.8,
75,Terry Mills,25,DET,PF,81,46,27,6.1,13.2,0.461,0.1,0.4,0.278,6,12.8,0.467,0.465,2.5,3.1,0.791,2.2,3.7,5.8,1.4,0.5,0.6,1.8,3.5,14.8,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
76,LaPhonso Ellis,22,DEN,PF,82,82,33.5,5.9,11.7,0.504,0,0.2,0.154,5.9,11.5,0.509,0.505,2.9,3.9,0.748,3.3,5.7,9.1,1.8,0.9,1.4,1.9,3.6,14.7,
77,Tom Gugliotta,23,WSB,PF,81,81,34.5,6,14,0.426,0.5,1.7,0.281,5.5,12.3,0.446,0.443,2.2,3.5,0.644,2.7,6.9,9.6,3.8,1.7,0.4,2.8,2.4,14.7,
78,Spud Webb,29,SAC,PG,69,68,33.8,5,11.4,0.433,0.5,2,0.274,4.4,9.5,0.466,0.457,4,4.8,0.851,0.6,2.2,2.8,7,1.5,0.1,2.8,2.6,14.5,
79,Mark Jackson,27,LAC,PG,82,81,38,5.6,11.5,0.486,0.3,1,0.268,5.3,10.5,0.506,0.497,2.9,3.7,0.803,1.6,3.2,4.7,8.8,1.7,0.1,2.7,1.9,14.4,
80,Eddie Johnson,33,SEA,SF,82,0,22.8,5.6,12.1,0.467,0.2,0.7,0.304,5.4,11.4,0.477,0.476,2.9,3.1,0.911,1.5,1.8,3.3,1.6,0.4,0,1.6,2.1,14.4,
81,Eric Murdock,24,MIL,PG,79,78,30.8,5.5,11.8,0.468,0.4,1.5,0.261,5.2,10.3,0.498,0.485,2.9,3.7,0.78,1.2,2.4,3.6,7.6,2.2,0.1,2.6,2.2,14.4,
82,Rik Smits,26,IND,C,81,81,25.6,6.1,12.6,0.486,0,0,,6.1,12.6,0.486,0.486,2.1,2.8,0.732,1.6,3.8,5.3,1.5,0.3,0.9,1.8,3.5,14.3,
83,Chris Morris,27,NJN,SF,77,57,29.9,5.7,11.8,0.481,0.2,1,0.224,5.4,10.8,0.504,0.49,2.6,3.2,0.794,2.9,2.9,5.9,1.4,1.9,0.7,1.5,2.2,14.1,
84,Stacey Augmon,24,ATL,SG,73,66,28.9,5.4,10.8,0.501,0,0.1,0,5.4,10.8,0.504,0.501,3.1,4.2,0.739,1.9,2,3.9,2.3,1.2,0.2,2.2,1.9,14,
85,Grant Long,26,MIA,PF,76,62,35.9,5.2,11.1,0.469,0.1,0.3,0.231,5.1,10.8,0.476,0.472,3.4,4.5,0.765,2.6,4.9,7.5,2.4,1.4,0.4,1.8,3.5,14,
86,Kevin Edwards,27,MIA,SG,40,30,28.4,5.4,11.6,0.468,0.1,0.4,0.294,5.3,11.1,0.474,0.473,3,3.5,0.844,1.2,1.8,3,3,1.7,0.3,1.9,1.7,13.9,
87,Todd Day,23,MIL,SG,71,37,27.2,5,11.7,0.432,0.8,2.6,0.293,4.3,9.1,0.472,0.465,3,4.2,0.717,2,2.1,4.1,1.6,1.1,0.7,1.7,3.1,13.8,
88,Vernon Maxwell,27,HOU,SG,71,68,31.7,4.9,12.1,0.407,1.7,5.1,0.332,3.2,7,0.461,0.477,2.3,3.2,0.719,0.4,2.7,3.1,4.2,1.2,0.1,2,1.7,13.8,
89,Dikembe Mutombo,26,DEN,C,82,82,36.9,4.9,9.5,0.51,0,0,,4.9,9.5,0.51,0.51,4.1,6,0.681,4.2,8.9,13,1.8,0.5,3.5,2.6,3.5,13.8,
90,Byron Scott,31,LAL,SG,58,53,28.9,5.1,11.4,0.449,0.8,2.3,0.326,4.3,9,0.481,0.483,2.7,3.2,0.848,0.5,1.8,2.3,2.7,0.9,0.2,1.2,1.7,13.7,
91,Rod Strickland,26,POR,SG,78,35,31.7,5.1,10.5,0.485,0.1,0.4,0.133,5,10.1,0.499,0.488,3.5,4.9,0.717,1.5,2.8,4.3,7.2,1.7,0.3,2.6,2,13.7,
92,Xavier McDaniel,29,BOS,PF,82,27,27,5.6,11.3,0.495,0.1,0.3,0.273,5.5,11,0.5,0.498,2.3,2.9,0.793,2,3.9,6,2,0.9,0.6,2.1,3,13.5,
93,Gary Payton,24,SEA,PG,82,78,31.1,5.8,11.7,0.494,0.1,0.4,0.206,5.7,11.3,0.505,0.498,1.8,2.4,0.77,1.2,2.3,3.4,4.9,2.2,0.3,1.8,3,13.5,
94,Sean Rooks,23,DAL,C,72,68,29,5.1,10.4,0.493,0,0,0,5.1,10.3,0.494,0.493,3.3,5.4,0.602,2.7,4.7,7.4,1.3,0.5,1.1,2.2,2.8,13.5,
95,Mookie Blaylock,25,ATL,PG,80,78,35.3,5.2,12.1,0.429,1.5,3.9,0.375,3.7,8.1,0.456,0.491,1.5,2.1,0.728,1.1,2.4,3.5,8.4,2.5,0.3,2.3,2,13.4,
96,Derrick McKey,26,SEA,SF,77,68,31.7,5,10.1,0.496,0.5,1.5,0.357,4.5,8.7,0.519,0.522,2.9,3.9,0.741,1.6,2.7,4.2,2.6,1.4,0.8,2,2.7,13.4,
97,Kevin Gamble,27,BOS,SF,82,58,31,5.6,11,0.507,0.6,1.7,0.374,5,9.4,0.531,0.535,1.5,1.8,0.826,0.6,2.4,3,2.8,1,0.5,1,2.3,13.3,
98,Horace Grant,27,CHI,PF,77,77,35.6,5.5,10.8,0.508,0,0.1,0.2,5.5,10.7,0.51,0.508,2.3,3.6,0.619,4.4,5,9.5,2.6,1.2,1.2,1.4,2.8,13.2,DEF2
99,Sam Perkins,31,2TM,PF,79,62,29.8,4.8,10.1,0.477,0.3,0.9,0.338,4.5,9.2,0.49,0.492,3.2,3.9,0.82,2.1,4.6,6.6,2,0.8,1,1.4,2.8,13.1,
99,Sam Perkins,31,LAL,PF,49,49,32.4,4.9,10.8,0.459,0.1,0.6,0.172,4.8,10.2,0.476,0.464,3.8,4.5,0.829,2.3,5.5,7.7,2.6,0.8,1,1.6,2.8,13.7,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
99,Sam Perkins,31,SEA,PF,30,13,25.4,4.6,9.1,0.511,0.6,1.4,0.452,4,7.7,0.522,0.546,2.2,2.8,0.795,1.7,3.1,4.8,0.9,0.7,1,1.1,2.9,12.1,
100,Antoine Carr,31,SAS,PF,71,46,27.4,5.3,9.9,0.538,0,0.1,0,5.3,9.9,0.541,0.538,2.5,3.2,0.777,1.5,4,5.5,1.4,0.5,1.2,1.4,3.7,13.1,
101,Kenny Smith,27,HOU,PG,82,82,29.5,4.7,9.1,0.52,1.2,2.7,0.438,3.5,6.4,0.554,0.585,2.4,2.7,0.878,0.3,1.6,2,5.4,1,0.1,2,1.3,13,
